ElementName,Type,Description,Segment,COM,SEG,PixelCount
Line3_Unit,unit,第三行单位bit1,U1,4,34,0
Line3_Unit,unit,第三行单位bit2,U2,6,33,0
Line3_Unit,unit,第三行单位bit3,U3,6,32,0

# ============================================================================
# 第二行数字 - SEG 36,37,38,39,40
# ============================================================================
Line2_D1,digit,第二行第1位,A,2,36,0
Line2_D1,digit,第二行第1位,B,4,36,0
Line2_D1,digit,第二行第1位,C,5,36,0
Line2_D1,digit,第二行第1位,D,1,36,0
Line2_D1,digit,第二行第1位,E,3,36,0
Line2_D1,digit,第二行第1位,F,6,36,0
Line2_D1,digit,第二行第1位,G,7,36,0
Line2_D2,digit,第二行第2位,A,0,37,0
Line2_D2,digit,第二行第2位,B,2,37,0
Line2_D2,digit,第二行第2位,C,7,37,0
Line2_D2,digit,第二行第2位,D,3,37,0
Line2_D2,digit,第二行第2位,E,5,37,0
Line2_D2,digit,第二行第2位,F,4,37,0
Line2_D2,digit,第二行第2位,G,6,37,0
Line2_D3,digit,第二行第3位,A,0,38,0
Line2_D3,digit,第二行第3位,B,2,38,0
Line2_D3,digit,第二行第3位,C,7,38,0
Line2_D3,digit,第二行第3位,D,3,38,0
Line2_D3,digit,第二行第3位,E,5,38,0
Line2_D3,digit,第二行第3位,F,4,38,0
Line2_D3,digit,第二行第3位,G,6,38,0
Line2_D4,digit,第二行第4位,A,0,39,0
Line2_D4,digit,第二行第4位,B,2,39,0
Line2_D4,digit,第二行第4位,C,7,39,0
Line2_D4,digit,第二行第4位,D,3,39,0
Line2_D4,digit,第二行第4位,E,5,39,0
Line2_D4,digit,第二行第4位,F,4,39,0
Line2_D4,digit,第二行第4位,G,6,39,0
Line2_D5,digit,第二行第5位,A,0,40,0
Line2_D5,digit,第二行第5位,B,2,40,0
Line2_D5,digit,第二行第5位,C,7,40,0
Line2_D5,digit,第二行第5位,D,3,40,0
Line2_D5,digit,第二行第5位,E,5,40,0
Line2_D5,digit,第二行第5位,F,4,40,0
Line2_D5,digit,第二行第5位,G,6,40,0

# 第二行小数点 - SEG 37,38,39
Line2_DP1,icon,第二行小数点1,DP,1,37,0
Line2_DP2,icon,第二行小数点2,DP,1,38,0
Line2_DP3,icon,第二行小数点3,DP,1,39,0

# 第二行单位 - SEG 40,41,43,44
Line2_Unit,unit,第二行单位bit0,U0,1,40,0
Line2_Unit,unit,第二行单位bit1,U1,1,41,0
Line2_Unit,unit,第二行单位bit2,U2,1,43,0
Line2_Unit,unit,第二行单位bit3,U3,1,44,0

# ============================================================================
# 第一行数字 - SEG 53,52,51,50,49
# ============================================================================
Line1_D1,digit,第一行第1位,A,1,53,0
Line1_D1,digit,第一行第1位,B,3,53,0
Line1_D1,digit,第一行第1位,C,6,53,0
Line1_D1,digit,第一行第1位,D,2,53,0
Line1_D1,digit,第一行第1位,E,4,53,0
Line1_D1,digit,第一行第1位,F,5,53,0
Line1_D1,digit,第一行第1位,G,7,53,0
Line1_D2,digit,第一行第2位,A,1,52,0
Line1_D2,digit,第一行第2位,B,3,52,0
Line1_D2,digit,第一行第2位,C,6,52,0
Line1_D2,digit,第一行第2位,D,2,52,0
Line1_D2,digit,第一行第2位,E,4,52,0
Line1_D2,digit,第一行第2位,F,5,52,0
Line1_D2,digit,第一行第2位,G,7,52,0
Line1_D3,digit,第一行第3位,A,3,51,0
Line1_D3,digit,第一行第3位,B,5,51,0
Line1_D3,digit,第一行第3位,C,4,51,0
Line1_D3,digit,第一行第3位,D,0,51,0
Line1_D3,digit,第一行第3位,E,2,51,0
Line1_D3,digit,第一行第3位,F,7,51,0
Line1_D3,digit,第一行第3位,G,6,51,0
Line1_D4,digit,第一行第4位,A,1,50,0
Line1_D4,digit,第一行第4位,B,3,50,0
Line1_D4,digit,第一行第4位,C,6,50,0
Line1_D4,digit,第一行第4位,D,2,50,0
Line1_D4,digit,第一行第4位,E,4,50,0
Line1_D4,digit,第一行第4位,F,5,50,0
Line1_D4,digit,第一行第4位,G,7,50,0
Line1_D5,digit,第一行第5位,A,3,49,0
Line1_D5,digit,第一行第5位,B,5,49,0
Line1_D5,digit,第一行第5位,C,4,49,0
Line1_D5,digit,第一行第5位,D,0,49,0
Line1_D5,digit,第一行第5位,E,2,49,0
Line1_D5,digit,第一行第5位,F,7,49,0
Line1_D5,digit,第一行第5位,G,6,49,0

# 第一行小数点 - SEG 52,53,50
Line1_DP1,icon,第一行小数点1,DP,0,52,0
Line1_DP2,icon,第一行小数点2,DP,0,53,0
Line1_DP3,icon,第一行小数点3,DP,0,50,0

# 第一行单位 - SEG 48,47,46,45
Line1_Unit,unit,第一行单位bit0,U0,6,48,0
Line1_Unit,unit,第一行单位bit1,U1,4,47,0
Line1_Unit,unit,第一行单位bit2,U2,6,46,0
Line1_Unit,unit,第一行单位bit3,U3,6,45,0

# ============================================================================
# 电池图标 - SEG 6,8,9
# ============================================================================
Battery_Frame,icon,电池外框,s8,5,6,0
Battery_Grid1,icon,电池格1,s5,5,9,0
Battery_Grid2,icon,电池格2,s6,5,8,0
Battery_Grid3,icon,电池格3,s7,3,6,0

# ============================================================================
# 基准图标 - SEG 7,8,9
# ============================================================================
Base_s1,icon,基准激光头1,s1,7,7,0
Base_s19,icon,基准激光头2,s19,6,7,0
Base_s21,icon,基准机身,s21,4,7,0
Base_s26,icon,基准激光尾1,s26,2,7,0
Base_s29,icon,基准激光尾2,s29,0,7,0
Base_s2,icon,基准前头,s2,7,8,0
Base_s20,icon,基准前头线,s20,6,8,0
Base_s22,icon,基准中线1,s22,6,9,0
Base_s23,icon,基准中点,s23,4,8,0
Base_s25,icon,基准中线2,s25,4,9,0
Base_s24,icon,基准后线1,s24,2,8,0
Base_s28,icon,基准后线2,s28,2,9,0
Base_s27,icon,基准后头1,s27,0,8,0
Base_s30,icon,基准后头2,s30,0,9,0

# ============================================================================
# 测量模式图标 - SEG 11,12,13,14,15
# ============================================================================
Mode_s_1_w,icon,模式图标1_w,s_1_w,4,13,0
Mode_s_1_x,icon,模式图标1_x,s_1_x,2,14,0
Mode_s_1_y,icon,模式图标1_y,s_1_y,6,11,0
Mode_s_1_z,icon,模式图标1_z,s_1_z,7,11,0
Mode_s_2_h,icon,模式图标2_h,s_2_h,7,15,0
Mode_s_2_w,icon,模式图标2_w,s_2_w,5,15,0
Mode_s_2_x,icon,模式图标2_x,s_2_x,2,13,0
Mode_s_2_y,icon,模式图标2_y,s_2_y,0,13,0
Mode_s_2_z,icon,模式图标2_z,s_2_z,4,14,0
Mode_s_3_h,icon,模式图标3_h,s_3_h,4,11,0
Mode_s_3_x,icon,模式图标3_x,s_3_x,2,12,0
Mode_s_3_y1,icon,模式图标3_y1,s_3_y1,0,12,0
Mode_s_3_y2,icon,模式图标3_y2,s_3_y2,2,11,0
Mode_s_3_w,icon,模式图标3_w,s_3_w,6,14,0
Mode_s_3_z,icon,模式图标3_z,s_3_z,6,15,0
Mode_s_q,icon,模式图标Q,s_q,6,13,0
Mode_s_angle,icon,模式角度,s_angle,7,13,0

# ============================================================================
# 其他图标 - SEG 0,10,11,14
# ============================================================================
Bluetooth,icon,蓝牙图标,BT,7,10,0
Beep_On,icon,蜂鸣器开,beep_on,5,10,0
Beep_Off,icon,蜂鸣器关,beep_off,7,9,0
Signal_1,icon,信号强度1,sig1,4,0,0
Signal_2,icon,信号强度2,sig2,6,0,0
Signal_3,icon,信号强度3,sig3,7,0,0
Signal_4,icon,信号强度4,sig4,5,0,0
Signal_5,icon,信号强度5,sig5,3,0,0
WiFi,icon,WiFi图标,wifi,2,0,0
MAX_MIN,icon,MAX/MIN图标,max,0,11,0
MAX_MIN,icon,MAX/MIN图标,min,7,14,0

# ============================================================================
# 角度显示 - SEG 0,1,2,3,4,5,6
# ============================================================================
Angle_Symbol,icon,角度符号°,deg,0,0,0
Angle_Minus,icon,角度负号,minus,6,6,0
Angle_DP,icon,角度小数点,dp,6,2,0

# 角度十位 - SEG 5,6
Angle_Tens,digit,角度十位,A,0,5,0
Angle_Tens,digit,角度十位,B,2,5,0
Angle_Tens,digit,角度十位,C,4,5,0
Angle_Tens,digit,角度十位,D,6,5,0
Angle_Tens,digit,角度十位,E,4,6,0
Angle_Tens,digit,角度十位,F,0,6,0
Angle_Tens,digit,角度十位,G,2,6,0

# 角度个位 - SEG 3,4
Angle_Ones,digit,角度个位,A,0,3,0
Angle_Ones,digit,角度个位,B,2,3,0
Angle_Ones,digit,角度个位,C,4,3,0
Angle_Ones,digit,角度个位,D,6,3,0
Angle_Ones,digit,角度个位,E,4,4,0
Angle_Ones,digit,角度个位,F,0,4,0
Angle_Ones,digit,角度个位,G,2,4,0

# 角度小数位 - SEG 1,2
Angle_Decimal,digit,角度小数位,A,0,1,0
Angle_Decimal,digit,角度小数位,B,2,1,0
Angle_Decimal,digit,角度小数位,C,4,1,0
Angle_Decimal,digit,角度小数位,D,6,1,0
Angle_Decimal,digit,角度小数位,E,4,2,0
Angle_Decimal,digit,角度小数位,F,0,2,0
Angle_Decimal,digit,角度小数位,G,2,2,0
