ElementName,Type,Description,Segment,COM,SEG,PixelCount
Line4_D5,digit,第四行第5位,B,2,27,688
Line4_D5,digit,第四行第5位,C,7,27,693
Line4_D5,digit,第四行第5位,D,3,27,786
Line4_D5,digit,第四行第5位,E,5,27,685
Line4_D5,digit,第四行第5位,F,4,27,670
Line4_D5,digit,第四行第5位,G,6,27,680
Line4_DP1,icon,第四行小数点1(千位后),DP,1,24,120
Line4_DP2,icon,第四行小数点2(百位后),DP,1,25,122
Line4_DP3,icon,第四行小数点3(十位后),DP,1,26,121
Line4_Exp,icon,次方A,A,6,31,0
Line4_Exp,icon,次方A,B,7,31,0
Line4_Exp,icon,次方A,C,5,31,0
Line4_Exp,icon,次方A,D,3,31,0
Line4_Exp,icon,次方A,E,5,30,0
Line4_Exp,icon,次方A,F,6,30,0
Line4_Exp,icon,次方A,G,7,30,0
Line4_Unit,unit,第四行单位bit0,U0,1,27,124
Line4_Unit,unit,第四行单位bit0,U1,1,28,38
Line4_Unit,unit,第四行单位bit0,U2,1,30,79
Line4_Unit,unit,第四行单位bit0,U3,1,31,40
MAX_MIN,icon,MAX/MIN图标,max,0,11,256
MAX_MIN,icon,MAX/MIN图标,min,7,14,248
Mode_s_1_w,icon,模式图标1_w,s_1_w,4,13,0
Mode_s_1_x,icon,模式图标1_x,s_1_x,2,14,268
Mode_s_1_y,icon,模式图标1_y,s_1_y,6,11,214
Mode_s_1_z,icon,模式图标1_z,s_1_z,7,11,127
Mode_s_2_h,icon,模式图标2_h,s_2_h,7,15,181
Mode_s_2_w,icon,模式图标2_w,s_2_w,5,15,168
Mode_s_2_x,icon,模式图标2_x,s_2_x,2,13,268
Mode_s_2_y,icon,模式图标2_y,s_2_y,0,13,172
Mode_s_2_z,icon,模式图标2_z,s_2_z,4,14,332
Mode_s_3_h,icon,模式图标3_h,s_3_h,4,11,168
Mode_s_3_w,icon,模式图标3_w,s_3_w,6,14,183
Mode_s_3_x,icon,模式图标3_x,s_3_x,2,12,264
Mode_s_3_y1,icon,模式图标3_y1,s_3_y1,0,12,126
Mode_s_3_y2,icon,模式图标3_y2,s_3_y2,2,11,126
Mode_s_3_z,icon,模式图标3_z,s_3_z,6,15,439
Mode_s_angle,icon,模式角度,s_angle,7,13,0
Mode_s_q,icon,模式图标Q,s_q,6,13,0
Signal_1,icon,信号强度1,sig1,4,0,70
Signal_2,icon,信号强度2,sig2,6,0,105
Signal_3,icon,信号强度3,sig3,7,0,147
Signal_4,icon,信号强度4,sig4,5,0,182
Signal_5,icon,信号强度5,sig5,3,0,224
WiFi,icon,WiFi图标,wifi,2,0,290
